Cover,Intrusion_Switch,WLAN_Card,Front_Bezel,Expansion_Card,Memory_Card,CoinCell_Battery,Hard_Drive,Optical_Drive,Power_Supply,Heat_Sink_Assembly,Processor,Processor_Socket,System_Fan,Thermal_Sensor,Power_Switch,IO_Panel,System_Board,Screws,Grommets,Power_Cable,Data_Cable,WLAN_Cable,4pin_Power_Cable,8pin_Power_Cable,Fan_Cable,Captive_Screws,Thermal_Sensor_Cable,USB_Cable,N_A
1014,2014,3014,4014,5014,6014,7014,8014,9014,10014,11014,12014,13014,14014,15014,16014,17014,18014,19014,20014,21014,22014,23014,24014,25014,26014,27014,28014,29014,0
1015,2015,3015,4015,5015,6015,7015,8015,9015,10015,11015,12015,13015,14015,15015,16015,17015,18015,19015,20015,21015,22015,23015,24015,25015,26015,27015,28015,29015,0
1016,2016,3016,4016,5016,6016,7016,8016,9016,10016,11016,12016,13016,14016,15016,16016,17016,18016,19016,20016,21016,22016,23016,24016,25016,26016,27016,28016,29016,0
1017,2017,3017,4017,5017,6017,7017,8017,9017,10017,11017,12017,13017,14017,15017,16017,17017,18017,19017,20017,21017,22017,23017,24017,25017,26017,27017,28017,29017,0
1018,2018,3018,4018,5018,6018,7018,8018,9018,10018,11018,12018,13018,14018,15018,16018,17018,18018,19018,20018,21018,22018,23018,24018,25018,26018,27018,28018,29018,0
1019,2019,3019,4019,5019,6019,7019,8019,9019,10019,11019,12019,13019,14019,15019,16019,17019,18019,19019,20019,21019,22019,23019,24019,25019,26019,27019,28019,29019,0
1020,2020,3020,4020,5020,6020,7020,8020,9020,10020,11020,12020,13020,14020,15020,16020,17020,18020,19020,20020,21020,22020,23020,24020,25020,26020,27020,28020,29020,0
1021,2021,3021,4021,5021,6021,7021,8021,9021,10021,11021,12021,13021,14021,15021,16021,17021,18021,19021,20021,21021,22021,23021,24021,25021,26021,27021,28021,29021,0
1022,2022,3022,4022,5022,6022,7022,8022,9022,10022,11022,12022,13022,14022,15022,16022,17022,18022,19022,20022,21022,22022,23022,24022,25022,26022,27022,28022,29022,0
1023,2023,3023,4023,5023,6023,7023,8023,9023,10023,11023,12023,13023,14023,15023,16023,17023,18023,19023,20023,21023,22023,23023,24023,25023,26023,27023,28023,29023,0
1024,2024,3024,4024,5024,6024,7024,8024,9024,10024,11024,12024,13024,14024,15024,16024,17024,18024,19024,20024,21024,22024,23024,24024,25024,26024,27024,28024,29024,0
1025,2025,3025,4025,5025,6025,7025,8025,9025,10025,11025,12025,13025,14025,15025,16025,17025,18025,19025,20025,21025,22025,23025,24025,25025,26025,27025,28025,29025,0
1026,2026,3026,4026,5026,6026,7026,8026,9026,10026,11026,12026,13026,14026,15026,16026,17026,18026,19026,20026,21026,22026,23026,24026,25026,26026,27026,28026,29026,0
1027,2027,3027,4027,5027,6027,7027,8027,9027,10027,11027,12027,13027,14027,15027,16027,17027,18027,19027,20027,21027,22027,23027,24027,25027,26027,27027,28027,29027,0
1028,2028,3028,4028,5028,6028,7028,8028,9028,10028,11028,12028,13028,14028,15028,16028,17028,18028,19028,20028,21028,22028,23028,24028,25028,26028,27028,28028,29028,0
1029,2029,3029,4029,5029,6029,7029,8029,9029,10029,11029,12029,13029,14029,15029,16029,17029,18029,19029,20029,21029,22029,23029,24029,25029,26029,27029,28029,29029,0
1030,2030,3030,4030,5030,6030,7030,8030,9030,10030,11030,12030,13030,14030,15030,16030,17030,18030,19030,20030,21030,22030,23030,24030,25030,26030,27030,28030,29030,0
1031,2031,3031,4031,5031,6031,7031,8031,9031,10031,11031,12031,13031,14031,15031,16031,17031,18031,19031,20031,21031,22031,23031,24031,25031,26031,27031,28031,29031,0
1032,2032,3032,4032,5032,6032,7032,8032,9032,10032,11032,12032,13032,14032,15032,16032,17032,18032,19032,20032,21032,22032,23032,24032,25032,26032,27032,28032,29032,0
1033,2033,3033,4033,5033,6033,7033,8033,9033,10033,11033,12033,13033,14033,15033,16033,17033,18033,19033,20033,21033,22033,23033,24033,25033,26033,27033,28033,29033,0
1034,2034,3034,4034,5034,6034,7034,8034,9034,10034,11034,12034,13034,14034,15034,16034,17034,18034,19034,20034,21034,22034,23034,24034,25034,26034,27034,28034,29034,0
1035,2035,3035,4035,5035,6035,7035,8035,9035,10035,11035,12035,13035,14035,15035,16035,17035,18035,19035,20035,21035,22035,23035,24035,25035,26035,27035,28035,29035,0
1036,2036,3036,4036,5036,6036,7036,8036,9036,10036,11036,12036,13036,14036,15036,16036,17036,18036,19036,20036,21036,22036,23036,24036,25036,26036,27036,28036,29036,0
1037,2037,3037,4037,5037,6037,7037,8037,9037,10037,11037,12037,13037,14037,15037,16037,17037,18037,19037,20037,21037,22037,23037,24037,25037,26037,27037,28037,29037,0
1038,2038,3038,4038,5038,6038,7038,8038,9038,10038,11038,12038,13038,14038,15038,16038,17038,18038,19038,20038,21038,22038,23038,24038,25038,26038,27038,28038,29038,0
1039,2039,3039,4039,5039,6039,7039,8039,9039,10039,11039,12039,13039,14039,15039,16039,17039,18039,19039,20039,21039,22039,23039,24039,25039,26039,27039,28039,29039,0
1040,2040,3040,4040,5040,6040,7040,8040,9040,10040,11040,12040,13040,14040,15040,16040,17040,18040,19040,20040,21040,22040,23040,24040,25040,26040,27040,28040,29040,0
1041,2041,3041,4041,5041,6041,7041,8041,9041,10041,11041,12041,13041,14041,15041,16041,17041,18041,19041,20041,21041,22041,23041,24041,25041,26041,27041,28041,29041,0
1042,2042,3042,4042,5042,6042,7042,8042,9042,10042,11042,12042,13042,14042,15042,16042,17042,18042,19042,20042,21042,22042,23042,24042,25042,26042,27042,28042,29042,0
1043,2043,3043,4043,5043,6043,7043,8043,9043,10043,11043,12043,13043,14043,15043,16043,17043,18043,19043,20043,21043,22043,23043,24043,25043,26043,27043,28043,29043,0
1044,2044,3044,4044,5044,6044,7044,8044,9044,10044,11044,12044,13044,14044,15044,16044,17044,18044,19044,20044,21044,22044,23044,24044,25044,26044,27044,28044,29044,0
1045,2045,3045,4045,5045,6045,7045,8045,9045,10045,11045,12045,13045,14045,15045,16045,17045,18045,19045,20045,21045,22045,23045,24045,25045,26045,27045,28045,29045,0
1046,2046,3046,4046,5046,6046,7046,8046,9046,10046,11046,12046,13046,14046,15046,16046,17046,18046,19046,20046,21046,22046,23046,24046,25046,26046,27046,28046,29046,0
1047,2047,3047,4047,5047,6047,7047,8047,9047,10047,11047,12047,13047,14047,15047,16047,17047,18047,19047,20047,21047,22047,23047,24047,25047,26047,27047,28047,29047,0
1048,2048,3048,4048,5048,6048,7048,8048,9048,10048,11048,12048,13048,14048,15048,16048,17048,18048,19048,20048,21048,22048,23048,24048,25048,26048,27048,28048,29048,0
1049,2049,3049,4049,5049,6049,7049,8049,9049,10049,11049,12049,13049,14049,15049,16049,17049,18049,19049,20049,21049,22049,23049,24049,25049,26049,27049,28049,29049,0
1050,2050,3050,4050,5050,6050,7050,8050,9050,10050,11050,12050,13050,14050,15050,16050,17050,18050,19050,20050,21050,22050,23050,24050,25050,26050,27050,28050,29050,0
1051,2051,3051,4051,5051,6051,7051,8051,9051,10051,11051,12051,13051,14051,15051,16051,17051,18051,19051,20051,21051,22051,23051,24051,25051,26051,27051,28051,29051,0
1052,2052,3052,4052,5052,6052,7052,8052,9052,10052,11052,12052,13052,14052,15052,16052,17052,18052,19052,20052,21052,22052,23052,24052,25052,26052,27052,28052,29052,0
1053,2053,3053,4053,5053,6053,7053,8053,9053,10053,11053,12053,13053,14053,15053,16053,17053,18053,19053,20053,21053,22053,23053,24053,25053,26053,27053,28053,29053,0
1054,2054,3054,4054,5054,6054,7054,8054,9054,10054,11054,12054,13054,14054,15054,16054,17054,18054,19054,20054,21054,22054,23054,24054,25054,26054,27054,28054,29054,0
1055,2055,3055,4055,5055,6055,7055,8055,9055,10055,11055,12055,13055,14055,15055,16055,17055,18055,19055,20055,21055,22055,23055,24055,25055,26055,27055,28055,29055,0
1056,2056,3056,4056,5056,6056,7056,8056,9056,10056,11056,12056,13056,14056,15056,16056,17056,18056,19056,20056,21056,22056,23056,24056,25056,26056,27056,28056,29056,0
1057,2057,3057,4057,5057,6057,7057,8057,9057,10057,11057,12057,13057,14057,15057,16057,17057,18057,19057,20057,21057,22057,23057,24057,25057,26057,27057,28057,29057,0
1058,2058,3058,4058,5058,6058,7058,8058,9058,10058,11058,12058,13058,14058,15058,16058,17058,18058,19058,20058,21058,22058,23058,24058,25058,26058,27058,28058,29058,0
1059,2059,3059,4059,5059,6059,7059,8059,9059,10059,11059,12059,13059,14059,15059,16059,17059,18059,19059,20059,21059,22059,23059,24059,25059,26059,27059,28059,29059,0
1060,2060,3060,4060,5060,6060,7060,8060,9060,10060,11060,12060,13060,14060,15060,16060,17060,18060,19060,20060,21060,22060,23060,24060,25060,26060,27060,28060,29060,0
1061,2061,3061,4061,5061,6061,7061,8061,9061,10061,11061,12061,13061,14061,15061,16061,17061,18061,19061,20061,21061,22061,23061,24061,25061,26061,27061,28061,29061,0
1062,2062,3062,4062,5062,6062,7062,8062,9062,10062,11062,12062,13062,14062,15062,16062,17062,18062,19062,20062,21062,22062,23062,24062,25062,26062,27062,28062,29062,0
1063,2063,3063,4063,5063,6063,7063,8063,9063,10063,11063,12063,13063,14063,15063,16063,17063,18063,19063,20063,21063,22063,23063,24063,25063,26063,27063,28063,29063,0
1064,2064,3064,4064,5064,6064,7064,8064,9064,10064,11064,12064,13064,14064,15064,16064,17064,18064,19064,20064,21064,22064,23064,24064,25064,26064,27064,28064,29064,0
1065,2065,3065,4065,5065,6065,7065,8065,9065,10065,11065,12065,13065,14065,15065,16065,17065,18065,19065,20065,21065,22065,23065,24065,25065,26065,27065,28065,29065,0
1066,2066,3066,4066,5066,6066,7066,8066,9066,10066,11066,12066,13066,14066,15066,16066,17066,18066,19066,20066,21066,22066,23066,24066,25066,26066,27066,28066,29066,0
1067,2067,3067,4067,5067,6067,7067,8067,9067,10067,11067,12067,13067,14067,15067,16067,17067,18067,19067,20067,21067,22067,23067,24067,25067,26067,27067,28067,29067,0
1068,2068,3068,4068,5068,6068,7068,8068,9068,10068,11068,12068,13068,14068,15068,16068,17068,18068,19068,20068,21068,22068,23068,24068,25068,26068,27068,28068,29068,0
1069,2069,3069,4069,5069,6069,7069,8069,9069,10069,11069,12069,13069,14069,15069,16069,17069,18069,19069,20069,21069,22069,23069,24069,25069,26069,27069,28069,29069,0
1070,2070,3070,4070,5070,6070,7070,8070,9070,10070,11070,12070,13070,14070,15070,16070,17070,18070,19070,20070,21070,22070,23070,24070,25070,26070,27070,28070,29070,0
1071,2071,3071,4071,5071,6071,7071,8071,9071,10071,11071,12071,13071,14071,15071,16071,17071,18071,19071,20071,21071,22071,23071,24071,25071,26071,27071,28071,29071,0
1072,2072,3072,4072,5072,6072,7072,8072,9072,10072,11072,12072,13072,14072,15072,16072,17072,18072,19072,20072,21072,22072,23072,24072,25072,26072,27072,28072,29072,0
1073,2073,3073,4073,5073,6073,7073,8073,9073,10073,11073,12073,13073,14073,15073,16073,17073,18073,19073,20073,21073,22073,23073,24073,25073,26073,27073,28073,29073,0
1074,2074,3074,4074,5074,6074,7074,8074,9074,10074,11074,12074,13074,14074,15074,16074,17074,18074,19074,20074,21074,22074,23074,24074,25074,26074,27074,28074,29074,0
1075,2075,3075,4075,5075,6075,7075,8075,9075,10075,11075,12075,13075,14075,15075,16075,17075,18075,19075,20075,21075,22075,23075,24075,25075,26075,27075,28075,29075,0
1076,2076,3076,4076,5076,6076,7076,8076,9076,10076,11076,12076,13076,14076,15076,16076,17076,18076,19076,20076,21076,22076,23076,24076,25076,26076,27076,28076,29076,0
1077,2077,3077,4077,5077,6077,7077,8077,9077,10077,11077,12077,13077,14077,15077,16077,17077,18077,19077,20077,21077,22077,23077,24077,25077,26077,27077,28077,29077,0
1078,2078,3078,4078,5078,6078,7078,8078,9078,10078,11078,12078,13078,14078,15078,16078,17078,18078,19078,20078,21078,22078,23078,24078,25078,26078,27078,28078,29078,0
1079,2079,3079,4079,5079,6079,7079,8079,9079,10079,11079,12079,13079,14079,15079,16079,17079,18079,19079,20079,21079,22079,23079,24079,25079,26079,27079,28079,29079,0
1080,2080,3080,4080,5080,6080,7080,8080,9080,10080,11080,12080,13080,14080,15080,16080,17080,18080,19080,20080,21080,22080,23080,24080,25080,26080,27080,28080,29080,0
1081,2081,3081,4081,5081,6081,7081,8081,9081,10081,11081,12081,13081,14081,15081,16081,17081,18081,19081,20081,21081,22081,23081,24081,25081,26081,27081,28081,29081,0
1082,2082,3082,4082,5082,6082,7082,8082,9082,10082,11082,12082,13082,14082,15082,16082,17082,18082,19082,20082,21082,22082,23082,24082,25082,26082,27082,28082,29082,0
1083,2083,3083,4083,5083,6083,7083,8083,9083,10083,11083,12083,13083,14083,15083,16083,17083,18083,19083,20083,21083,22083,23083,24083,25083,26083,27083,28083,29083,0
1084,2084,3084,4084,5084,6084,7084,8084,9084,10084,11084,12084,13084,14084,15084,16084,17084,18084,19084,20084,21084,22084,23084,24084,25084,26084,27084,28084,29084,0
1085,2085,3085,4085,5085,6085,7085,8085,9085,10085,11085,12085,13085,14085,15085,16085,17085,18085,19085,20085,21085,22085,23085,24085,25085,26085,27085,28085,29085,0
1086,2086,3086,4086,5086,6086,7086,8086,9086,10086,11086,12086,13086,14086,15086,16086,17086,18086,19086,20086,21086,22086,23086,24086,25086,26086,27086,28086,29086,0
1087,2087,3087,4087,5087,6087,7087,8087,9087,10087,11087,12087,13087,14087,15087,16087,17087,18087,19087,20087,21087,22087,23087,24087,25087,26087,27087,28087,29087,0
1088,2088,3088,4088,5088,6088,7088,8088,9088,10088,11088,12088,13088,14088,15088,16088,17088,18088,19088,20088,21088,22088,23088,24088,25088,26088,27088,28088,29088,0
1089,2089,3089,4089,5089,6089,7089,8089,9089,10089,11089,12089,13089,14089,15089,16089,17089,18089,19089,20089,21089,22089,23089,24089,25089,26089,27089,28089,29089,0
1090,2090,3090,4090,5090,6090,7090,8090,9090,10090,11090,12090,13090,14090,15090,16090,17090,18090,19090,20090,21090,22090,23090,24090,25090,26090,27090,28090,29090,0
1091,2091,3091,4091,5091,6091,7091,8091,9091,10091,11091,12091,13091,14091,15091,16091,17091,18091,19091,20091,21091,22091,23091,24091,25091,26091,27091,28091,29091,0
1092,2092,3092,4092,5092,6092,7092,8092,9092,10092,11092,12092,13092,14092,15092,16092,17092,18092,19092,20092,21092,22092,23092,24092,25092,26092,27092,28092,29092,0
1093,2093,3093,4093,5093,6093,7093,8093,9093,10093,11093,12093,13093,14093,15093,16093,17093,18093,19093,20093,21093,22093,23093,24093,25093,26093,27093,28093,29093,0
1094,2094,3094,4094,5094,6094,7094,8094,9094,10094,11094,12094,13094,14094,15094,16094,17094,18094,19094,20094,21094,22094,23094,24094,25094,26094,27094,28094,29094,0
1095,2095,3095,4095,5095,6095,7095,8095,9095,10095,11095,12095,13095,14095,15095,16095,17095,18095,19095,20095,21095,22095,23095,24095,25095,26095,27095,28095,29095,0
1096,2096,3096,4096,5096,6096,7096,8096,9096,10096,11096,12096,13096,14096,15096,16096,17096,18096,19096,20096,21096,22096,23096,24096,25096,26096,27096,28096,29096,0
1097,2097,3097,4097,5097,6097,7097,8097,9097,10097,11097,12097,13097,14097,15097,16097,17097,18097,19097,20097,21097,22097,23097,24097,25097,26097,27097,28097,29097,0
1098,2098,3098,4098,5098,6098,7098,8098,9098,10098,11098,12098,13098,14098,15098,16098,17098,18098,19098,20098,21098,22098,23098,24098,25098,26098,27098,28098,29098,0
1099,2099,3099,4099,5099,6099,7099,8099,9099,10099,11099,12099,13099,14099,15099,16099,17099,18099,19099,20099,21099,22099,23099,24099,25099,26099,27099,28099,29099,0
,,,,,,,,,10100,11100,12100,13100,14100,15100,16100,17100,18100,19100,20100,21100,22100,23100,24100,25100,26100,27100,28100,29100,0
,,,,,,,,,10101,11101,12101,13101,14101,15101,16101,17101,18101,19101,20101,21101,22101,23101,24101,25101,26101,27101,28101,29101,0
,,,,,,,,,10102,11102,12102,13102,14102,15102,16102,17102,18102,19102,20102,21102,22102,23102,24102,25102,26102,27102,28102,29102,0
,,,,,,,,,10103,11103,12103,13103,14103,15103,16103,17103,18103,19103,20103,21103,22103,23103,24103,25103,26103,27103,28103,29103,0
,,,,,,,,,10104,11104,12104,13104,14104,15104,16104,17104,18104,19104,20104,21104,22104,23104,24104,25104,26104,27104,28104,29104,0
,,,,,,,,,10105,11105,12105,13105,14105,15105,16105,17105,18105,19105,20105,21105,22105,23105,24105,25105,26105,27105,28105,29105,0
,,,,,,,,,10106,11106,12106,13106,14106,15106,16106,17106,18106,19106,20106,21106,22106,23106,24106,25106,26106,27106,28106,29106,0
,,,,,,,,,10107,11107,12107,13107,14107,15107,16107,17107,18107,19107,20107,21107,22107,23107,24107,25107,26107,27107,28107,29107,0
,,,,,,,,,10108,11108,12108,13108,14108,15108,16108,17108,18108,19108,20108,21108,22108,23108,24108,25108,26108,27108,28108,29108,0
,,,,,,,,,10109,11109,12109,13109,14109,15109,16109,17109,18109,19109,20109,21109,22109,23109,24109,25109,26109,27109,28109,29109,0
,,,,,,,,,10110,11110,12110,13110,14110,15110,16110,17110,18110,19110,20110,21110,22110,23110,24110,25110,26110,27110,28110,29110,0
,,,,,,,,,10111,11111,12111,13111,14111,15111,16111,17111,18111,19111,20111,21111,22111,23111,24111,25111,26111,27111,28111,29111,0
,,,,,,,,,10112,11112,12112,13112,14112,15112,16112,17112,18112,19112,20112,21112,22112,23112,24112,25112,26112,27112,28112,29112,0
,,,,,,,,,10113,11113,12113,13113,14113,15113,16113,17113,18113,19113,20113,21113,22113,23113,24113,25113,26113,27113,28113,29113,0
,,,,,,,,,10114,11114,12114,13114,14114,15114,16114,17114,18114,19114,20114,21114,22114,23114,24114,25114,26114,27114,28114,29114,0
,,,,,,,,,10115,11115,12115,13115,14115,15115,16115,17115,18115,19115,20115,21115,22115,23115,24115,25115,26115,27115,28115,29115,0
,,,,,,,,,10116,11116,12116,13116,14116,15116,16116,17116,18116,19116,20116,21116,22116,23116,24116,25116,26116,27116,28116,29116,0
,,,,,,,,,10117,11117,12117,13117,14117,15117,16117,17117,18117,19117,20117,21117,22117,23117,24117,25117,26117,27117,28117,29117,0
,,,,,,,,,10118,11118,12118,13118,14118,15118,16118,17118,18118,19118,20118,21118,22118,23118,24118,25118,26118,27118,28118,29118,0
,,,,,,,,,10119,11119,12119,13119,14119,15119,16119,17119,18119,19119,20119,21119,22119,23119,24119,25119,26119,27119,28119,29119,0
,,,,,,,,,10120,11120,12120,13120,14120,15120,16120,17120,18120,19120,20120,21120,22120,23120,24120,25120,26120,27120,28120,29120,0
,,,,,,,,,10121,11121,12121,13121,14121,15121,16121,17121,18121,19121,20121,21121,22121,23121,24121,25121,26121,27121,28121,29121,0
,,,,,,,,,10122,11122,12122,13122,14122,15122,16122,17122,18122,19122,20122,21122,22122,23122,24122,25122,26122,27122,28122,29122,0
,,,,,,,,,10123,11123,12123,13123,14123,15123,16123,17123,18123,19123,20123,21123,22123,23123,24123,25123,26123,27123,28123,29123,0
,,,,,,,,,10124,11124,12124,13124,14124,15124,16124,17124,18124,19124,20124,21124,22124,23124,24124,25124,26124,27124,28124,29124,0
,,,,,,,,,10125,11125,12125,13125,14125,15125,16125,17125,18125,19125,20125,21125,22125,23125,24125,25125,26125,27125,28125,29125,0
,,,,,,,,,10126,11126,12126,13126,14126,15126,16126,17126,18126,19126,20126,21126,22126,23126,24126,25126,26126,27126,28126,29126,0
,,,,,,,,,10127,11127,12127,13127,14127,15127,16127,17127,18127,19127,20127,21127,22127,23127,24127,25127,26127,27127,28127,29127,0
,,,,,,,,,10128,11128,12128,13128,14128,15128,16128,17128,18128,19128,20128,21128,22128,23128,24128,25128,26128,27128,28128,29128,0
,,,,,,,,,10129,11129,12129,13129,14129,15129,16129,17129,18129,19129,20129,21129,22129,23129,24129,25129,26129,27129,28129,29129,0
,,,,,,,,,10130,11130,12130,13130,14130,15130,16130,17130,18130,19130,20130,21130,22130,23130,24130,25130,26130,27130,28130,29130,0
,,,,,,,,,10131,11131,12131,13131,14131,15131,16131,17131,18131,19131,20131,21131,22131,23131,24131,25131,26131,27131,28131,29131,0
,,,,,,,,,10132,11132,12132,13132,14132,15132,16132,17132,18132,19132,20132,21132,22132,23132,24132,25132,26132,27132,28132,29132,0
,,,,,,,,,10133,11133,12133,13133,14133,15133,16133,17133,18133,19133,20133,21133,22133,23133,24133,25133,26133,27133,28133,29133,0
,,,,,,,,,10134,11134,12134,13134,14134,15134,16134,17134,18134,19134,20134,21134,22134,23134,24134,25134,26134,27134,28134,29134,0
,,,,,,,,,10135,11135,12135,13135,14135,15135,16135,17135,18135,19135,20135,21135,22135,23135,24135,25135,26135,27135,28135,29135,0
,,,,,,,,,10136,11136,12136,13136,14136,15136,16136,17136,18136,19136,20136,21136,22136,23136,24136,25136,26136,27136,28136,29136,0
,,,,,,,,,10137,11137,12137,13137,14137,15137,16137,17137,18137,19137,20137,21137,22137,23137,24137,25137,26137,27137,28137,29137,0
,,,,,,,,,10138,11138,12138,13138,14138,15138,16138,17138,18138,19138,20138,21138,22138,23138,24138,25138,26138,27138,28138,29138,0
,,,,,,,,,10139,11139,12139,13139,14139,15139,16139,17139,18139,19139,20139,21139,22139,23139,24139,25139,26139,27139,28139,29139,0
,,,,,,,,,10140,11140,12140,13140,14140,15140,16140,17140,18140,19140,20140,21140,22140,23140,24140,25140,26140,27140,28140,29140,0
,,,,,,,,,10141,11141,12141,13141,14141,15141,16141,17141,18141,19141,20141,21141,22141,23141,24141,25141,26141,27141,28141,29141,0
,,,,,,,,,10142,11142,12142,13142,14142,15142,16142,17142,18142,19142,20142,21142,22142,23142,24142,25142,26142,27142,28142,29142,0
,,,,,,,,,10143,11143,12143,13143,14143,15143,16143,17143,18143,19143,20143,21143,22143,23143,24143,25143,26143,27143,28143,29143,0
,,,,,,,,,10144,11144,12144,13144,14144,15144,16144,17144,18144,19144,20144,21144,22144,23144,24144,25144,26144,27144,28144,29144,0
,,,,,,,,,10145,11145,12145,13145,14145,15145,16145,17145,18145,19145,20145,21145,22145,23145,24145,25145,26145,27145,28145,29145,0
,,,,,,,,,10146,11146,12146,13146,14146,15146,16146,17146,18146,19146,20146,21146,22146,23146,24146,25146,26146,27146,28146,29146,0
,,,,,,,,,10147,11147,12147,13147,14147,15147,16147,17147,18147,19147,20147,21147,22147,23147,24147,25147,26147,27147,28147,29147,0
,,,,,,,,,10148,11148,12148,13148,14148,15148,16148,17148,18148,19148,20148,21148,22148,23148,24148,25148,26148,27148,28148,29148,0
,,,,,,,,,10149,11149,12149,13149,14149,15149,16149,17149,18149,19149,20149,21149,22149,23149,24149,25149,26149,27149,28149,29149,0
,,,,,,,,,10150,11150,12150,13150,14150,15150,16150,17150,18150,19150,20150,21150,22150,23150,24150,25150,26150,27150,28150,29150,0
,,,,,,,,,10151,11151,12151,13151,14151,15151,16151,17151,18151,19151,20151,21151,22151,23151,24151,25151,26151,27151,28151,29151,0
,,,,,,,,,10152,11152,12152,13152,14152,15152,16152,17152,18152,19152,20152,21152,22152,23152,24152,25152,26152,27152,28152,29152,0
,,,,,,,,,10153,11153,12153,13153,14153,15153,16153,17153,18153,19153,20153,21153,22153,23153,24153,25153,26153,27153,28153,29153,0
,,,,,,,,,10154,11154,12154,13154,14154,15154,16154,17154,18154,19154,20154,21154,22154,23154,24154,25154,26154,27154,28154,29154,0
,,,,,,,,,10155,11155,12155,13155,14155,15155,16155,17155,18155,19155,20155,21155,22155,23155,24155,25155,26155,27155,28155,29155,0
,,,,,,,,,10156,11156,12156,13156,14156,15156,16156,17156,18156,19156,20156,21156,22156,23156,24156,25156,26156,27156,28156,29156,0
,,,,,,,,,10157,11157,12157,13157,14157,15157,16157,17157,18157,19157,20157,21157,22157,23157,24157,25157,26157,27157,28157,29157,0
,,,,,,,,,10158,11158,12158,13158,14158,15158,16158,17158,18158,19158,20158,21158,22158,23158,24158,25158,26158,27158,28158,29158,0
,,,,,,,,,10159,11159,12159,13159,14159,15159,16159,17159,18159,19159,20159,21159,22159,23159,24159,25159,26159,27159,28159,29159,0
,,,,,,,,,10160,11160,12160,13160,14160,15160,16160,17160,18160,19160,20160,21160,22160,23160,24160,25160,26160,27160,28160,29160,0
,,,,,,,,,10161,11161,12161,13161,14161,15161,16161,17161,18161,19161,20161,21161,22161,23161,24161,25161,26161,27161,28161,29161,0
,,,,,,,,,10162,11162,12162,13162,14162,15162,16162,17162,18162,19162,20162,21162,22162,23162,24162,25162,26162,27162,28162,29162,0
,,,,,,,,,10163,11163,12163,13163,14163,15163,16163,17163,18163,19163,20163,21163,22163,23163,24163,25163,26163,27163,28163,29163,0
,,,,,,,,,10164,11164,12164,13164,14164,15164,16164,17164,18164,19164,20164,21164,22164,23164,24164,25164,26164,27164,28164,29164,0
